"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,2.45413,5.5545,0,0,2,180,0,0
0.02,2.45094,5.5545,0.00318748,0.04,2,-179.988,0,0
0.04,2.44776,5.55449,0.00637495,0.08,2,-179.977,0,0
0.06,2.44457,5.55449,0.00956243,0.12,2,-179.965,0,0
0.08,2.44138,5.55449,0.0127499,0.16,2,-179.953,0,0
0.1,2.4382,5.55448,0.0159374,0.2,2,-179.942,0,0
0.12,2.43501,5.55448,0.0191249,0.24,2,-179.93,0,0
0.14,2.43182,5.55448,0.0223123,0.28,2,-179.919,0,0
0.16,2.42849,5.55447,0.0256409,0.32,2,-179.906,0,0
0.18,2.4208,5.55446,0.0333362,0.36,2,-179.866,0,0
0.2,2.4131,5.55444,0.0410314,0.4,2,-179.826,0,0
0.22,2.40541,5.55442,0.0487267,0.44,2,-179.786,0,0
0.24,2.39601,5.55437,0.0581267,0.48,2,-179.707,0,0
0.26,2.38598,5.55431,0.0681553,0.52,2,-179.614,0,0
0.28,2.37558,5.55424,0.0785533,0.56,2,-179.513,0,0
0.3,2.36368,5.55411,0.0904491,0.6,2,-179.382,0,0
0.32,2.35169,5.55398,0.102446,0.64,2,-179.248,0,0
0.34,2.33819,5.55378,0.115948,0.68,2,-179.08,0,0
0.36,2.32443,5.55356,0.12971,0.72,2,-178.905,0,0
0.38,2.3095,5.55321,0.144645,0.76,2,-178.705,0,0
0.4,2.29394,5.55284,0.160208,0.8,2,-178.495,0,0
0.42,2.2777,5.55243,0.176449,0.84,2,-178.275,0,0
0.44,2.26036,5.55183,0.193798,0.88,2,-178.048,0,0
0.46,2.24241,5.55117,0.211767,0.92,2,-177.82,0,0
0.48,2.22374,5.55045,0.230445,0.96,2,-177.59,0,0
0.5,2.20412,5.54957,0.250087,1,2,-177.375,0,0
0.52,2.18369,5.54859,0.270537,1.04,2,-177.176,0,0
0.54,2.16252,5.54751,0.291738,1.08,2,-176.997,0,0
0.56,2.14057,5.54633,0.313716,1.12,2,-176.851,0,0
0.58,2.11784,5.54506,0.336488,1.16,2,-176.746,0,0
0.6,2.0943,5.54371,0.360063,1.2,2,-176.679,0,0
0.62,2.06996,5.5423,0.384448,1.24,2,-176.703,0,0
0.64,2.0448,5.54086,0.409643,1.28,2,-176.769,0,0
0.66,2.01884,5.53945,0.435647,1.32,2,-176.966,0,0
0.68,1.99206,5.53808,0.462456,1.36,2,-177.246,0,0
0.7,1.96448,5.53686,0.490068,1.4,2,-177.675,0,0
0.72,1.93609,5.53584,0.518475,1.44,2,-178.252,0,0
0.74,1.9069,5.53514,0.547673,1.48,2,-179.034,0,0
0.76,1.87692,5.53484,0.577654,1.52,2,179.97,0,0
0.78,1.84617,5.53521,0.608412,1.56,2,178.644,0,0
0.8,1.81457,5.53643,0.64004,1.6,2,176.933,0,0
0.82,1.78224,5.53875,0.67246,1.64,2,174.734,0,0
0.84,1.74929,5.54259,0.705639,1.68,2,171.886,0,0
0.86,1.71578,5.54817,0.739623,1.72,2,168.292,0,0
0.88,1.6821,5.55696,0.774452,1.76,2,163.354,0,0
0.9,1.64851,5.56858,0.810019,1.8,2,157.253,0,0
0.92,1.61598,5.58478,0.846442,1.84,2,149.423,0,0
0.94,1.58577,5.60635,0.88363,1.88,2,140.009,0,0
0.96,1.55908,5.63326,0.921636,1.92,2,129.841,0,0
0.98,1.53675,5.66489,0.960424,1.96,2,119.901,0,0
1,1.5199,5.70059,1,1.99398,0.473099,111.361,0,0
1.02,1.50773,5.73863,1.03996,2,0,104.542,0,0
1.04,1.49956,5.77775,1.07996,2,0,99.4084,0,0
1.06,1.49443,5.81741,1.11996,2,0,95.6635,0,0
1.08,1.49147,5.85729,1.15996,2,0,93.0041,0,0
1.1,1.49004,5.89726,1.19996,2,0,91.2551,0,0
1.12,1.48955,5.93726,1.23996,2,0,90.3263,0,0
1.14,1.48946,5.97726,1.27996,2,0,89.9827,0,0
1.16,1.4895,6.01726,1.31996,2,0,89.8561,0,0
1.18,1.48971,6.05726,1.35996,2,0,89.5571,0,0
1.2,1.49016,6.09725,1.39996,2,0,89.1167,0,0
1.22,1.49098,6.13725,1.43996,2,0,88.5186,0,0
1.24,1.49225,6.17722,1.47996,2,0,87.7719,0,0
1.26,1.4941,6.21718,1.51996,2,0,86.8678,0,0
1.28,1.49668,6.2571,1.55996,2,0,85.7931,0,0
1.3,1.50001,6.29696,1.59996,2,0,84.5662,0,0
1.32,1.50432,6.33672,1.63996,2,0,83.1499,0,0
1.34,1.50961,6.37637,1.67996,2,0,81.5624,0,0
1.36,1.51609,6.41584,1.71996,2,0,79.7724,0,0
1.38,1.52386,6.45507,1.75996,2,0,77.7738,0,0
1.4,1.53304,6.494,1.79996,2,0,75.5562,0,0
1.42,1.54404,6.53245,1.83996,2,0,73.0613,0,0
1.44,1.55644,6.57047,1.87996,2,-0.025088,70.3623,0,0
1.46,1.57098,6.60769,1.91992,1.99413,-1.51248,67.3618,0,0
1.48,1.58719,6.64379,1.95951,1.96034,-2,64.1468,0,0
1.5,1.6051,6.67819,1.9983,1.92034,-2,60.7416,0,0
1.52,1.6247,6.71075,2.03632,1.88034,-2,57.1726,0,0
1.54,1.64586,6.74131,2.07351,1.84034,-2,53.485,0,0
1.56,1.66815,6.77011,2.10994,1.80034,-2,49.7408,0,0
1.58,1.69229,6.79623,2.14551,1.76034,-2,45.9471,0,0
1.6,1.71729,6.82046,2.18035,1.72034,-2,42.2002,0,0
1.62,1.74316,6.84249,2.21434,1.68034,-2,38.5461,0,0
1.64,1.76979,6.86227,2.24752,1.64034,-2,35.0312,0,0
1.66,1.79677,6.88024,2.27995,1.60034,-2,31.6704,0,0
1.68,1.82421,6.89598,2.31159,1.56034,-2,28.5317,0,0
1.7,1.8515,6.91013,2.34235,1.52034,-2,25.5869,0,0
1.72,1.87891,6.92228,2.37234,1.48034,-2,22.8981,0,0
1.74,1.90604,6.93304,2.40154,1.44034,-2,20.4154,0,0
1.76,1.93284,6.94247,2.42996,1.40034,-2,18.1373,0,0
1.78,1.95926,6.95048,2.45757,1.36034,-2,16.0917,0,0
1.8,1.98509,6.95768,2.48439,1.32034,-2,14.191,0,0
1.82,2.01039,6.96373,2.5104,1.28034,-2,12.4966,0,0
1.84,2.03506,6.96886,2.5356,1.24034,-2,10.9786,0,0
1.86,2.05906,6.97321,2.55999,1.20034,-2,9.61544,0,0
1.88,2.08235,6.97689,2.58357,1.16034,-2,8.39353,0,0
1.9,2.10492,6.98,2.60635,1.12034,-2,7.29957,0,0
1.92,2.12674,6.98261,2.62834,1.08034,-2,6.32181,0,0
1.94,2.14784,6.98478,2.64955,1.04034,-2,5.44981,0,0
1.96,2.16822,6.98659,2.67001,1.00034,-2,4.67218,0,0
1.98,2.1878,6.98807,2.68965,0.960335,-2,3.98609,0,0
2,2.20645,6.98924,2.70834,0.920335,-2,3.39454,0,0
2.02,2.22441,6.99021,2.72631,0.880335,-2,2.86566,0,0
2.04,2.24174,6.99103,2.74367,0.840335,-2,2.38951,0,0
2.06,2.25797,6.99162,2.75991,0.800335,-2,1.9972,0,0
2.08,2.27354,6.99212,2.77549,0.760335,-2,1.64756,0,0
2.1,2.28847,6.99252,2.79042,0.720335,-2,1.33879,0,0
2.12,2.30224,6.9928,2.8042,0.680335,-2,1.09192,0,0
2.14,2.31574,6.99305,2.8177,0.640335,-2,0.859548,0,0
2.16,2.32775,6.99319,2.82971,0.600335,-2,0.691261,0,0
2.18,2.33965,6.99333,2.84161,0.560335,-2,0.527873,0,0
2.2,2.35006,6.99341,2.85202,0.520335,-2,0.412795,0,0
2.22,2.36009,6.99348,2.86205,0.480335,-2,0.310267,0,0
2.24,2.36951,6.99353,2.87147,0.440335,-2,0.221393,0,0
2.26,2.3772,6.99355,2.87916,0.400335,-2,0.17117,0,0
2.28,2.3849,6.99357,2.88686,0.360335,-2,0.120947,0,0
2.3,2.39259,6.99359,2.89455,0.320335,-2,0.0707244,0,0
2.32,2.39596,6.99359,2.89792,0.280335,-2,0.0615732,0,0
2.34,2.39915,6.9936,2.90111,0.240335,-2,0.0541196,0,0
2.36,2.40233,6.9936,2.90429,0.200335,-2,0.046666,0,0
2.38,2.40552,6.9936,2.90748,0.160335,-2,0.0392123,0,0
2.4,2.40871,6.9936,2.91067,0.120335,-2,0.0317587,0,0
2.42,2.4119,6.9936,2.91386,0.0803352,-2,0.0243051,0,0
2.44,2.41508,6.9936,2.91704,0.0403352,-2,0.0168515,0,0
2.46,2.41827,6.9936,2.92023,0.000335179,-2,0.00939782,0,0
