"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,8.67943,2.59291,0,0,2.5,-157.5,0,22.5
0.02,8.67614,2.59155,0.00356371,0.05,2.5,-157.5,0,22.4958
0.04,8.67285,2.59018,0.00712741,0.1,2.5,-157.5,0,22.483
0.06,8.66955,2.58882,0.0106911,0.15,2.5,-157.501,0,22.4618
0.08,8.66626,2.58746,0.0142548,0.2,2.5,-157.501,0,22.4321
0.1,8.66297,2.58609,0.0178185,0.25,2.5,-157.501,0,22.3939
0.12,8.65968,2.58473,0.0213822,0.3,2.5,-157.501,0,22.3472
0.14,8.65638,2.58336,0.0249459,0.35,2.5,-157.502,0,22.292
0.16,8.64903,2.58032,0.0329074,0.4,2.5,-157.503,0,22.2284
0.18,8.64108,2.57703,0.0415109,0.45,2.5,-157.504,0,22.1562
0.2,8.63313,2.57373,0.0501144,0.5,2.5,-157.505,0,22.0756
0.22,8.62296,2.56952,0.0611189,0.55,2.5,-157.507,0,21.9865
0.24,8.6126,2.56523,0.0723313,0.6,2.5,-157.51,0,21.8889
0.26,8.60098,2.56042,0.0849109,0.65,2.5,-157.514,0,21.7828
0.28,8.58869,2.55534,0.0982109,0.7,2.5,-157.518,0,21.6682
0.3,8.57516,2.54974,0.112849,0.75,2.5,-157.524,0,21.5451
0.32,8.56112,2.54393,0.128046,0.8,2.5,-157.53,0,21.4135
0.34,8.54569,2.53755,0.144744,0.85,2.5,-157.539,0,21.2735
0.36,8.52953,2.53087,0.162232,0.9,2.5,-157.548,0,21.125
0.38,8.51257,2.52386,0.180583,0.95,2.5,-157.56,0,20.9679
0.4,8.49454,2.51642,0.200091,1,2.5,-157.573,0,20.8024
0.42,8.47552,2.50857,0.220661,1.05,2.5,-157.589,0,20.6284
0.44,8.45564,2.50038,0.242166,1.1,2.5,-157.607,0,20.4459
0.46,8.43485,2.49182,0.264647,1.15,2.5,-157.627,0,20.2549
0.48,8.41314,2.48289,0.288125,1.2,2.5,-157.651,0,20.0555
0.5,8.39049,2.47358,0.312608,1.25,2.5,-157.677,0,19.8475
0.52,8.36691,2.4639,0.338101,1.3,2.5,-157.707,0,19.6311
0.54,8.34239,2.45386,0.3646,1.35,2.5,-157.74,0,19.4061
0.56,8.31693,2.44345,0.392101,1.4,2.5,-157.777,0,19.1727
0.58,8.29055,2.43268,0.420595,1.45,2.5,-157.819,0,18.9308
0.6,8.26325,2.42156,0.450073,1.5,2.5,-157.864,0,18.6804
0.62,8.23504,2.4101,0.480526,1.55,2.5,-157.915,0,18.4215
0.64,8.20583,2.39827,0.512041,1.6,2.5,-157.971,0,18.1542
0.66,8.17567,2.38608,0.544573,1.65,2.5,-158.032,0,17.8783
0.68,8.14461,2.37357,0.578052,1.7,2.5,-158.099,0,17.594
0.7,8.11262,2.36073,0.612526,1.75,2.5,-158.172,0,17.3011
0.72,8.07962,2.34754,0.648062,1.8,2.5,-158.252,0,16.9998
0.74,8.04575,2.33406,0.684512,1.85,2.5,-158.339,0,16.69
0.76,8.01085,2.32023,0.722055,1.9,2.5,-158.433,0,16.3717
0.78,7.97507,2.30613,0.760512,1.95,2.5,-158.536,0,16.0449
0.8,7.93826,2.2917,0.80005,2,2.5,-158.646,0,15.7097
0.82,7.90056,2.277,0.840516,2.05,2.5,-158.766,0,15.3659
0.84,7.86184,2.26201,0.882037,2.1,2.5,-158.895,0,15.0136
0.86,7.82217,2.24675,0.924542,2.15,2.5,-159.034,0,14.6529
0.88,7.78155,2.23124,0.968016,2.2,2.5,-159.183,0,14.2837
0.9,7.73993,2.21549,1.01252,2.25,2.5,-159.345,0,13.906
0.92,7.69735,2.19951,1.058,2.29372,0.566056,-159.517,0,13.5198
0.94,7.65427,2.1835,1.10397,2.3,0,-159.7,0,13.1251
0.96,7.6111,2.16761,1.14997,2.3,0,-159.892,0,12.7219
0.98,7.56788,2.15186,1.19597,2.3,0,-160.092,0,12.3102
1,7.5246,2.13628,1.24197,2.3,0,-160.302,0,11.8901
1.02,7.48126,2.12086,1.28797,2.3,0,-160.521,0,11.4657
1.04,7.43786,2.10561,1.33397,2.3,0,-160.75,0,11.0413
1.06,7.3944,2.09053,1.37997,2.3,0,-160.988,0,10.6169
1.08,7.35088,2.07564,1.42597,2.3,0,-161.236,0,10.1925
1.1,7.30729,2.06093,1.47197,2.3,0,-161.494,0,9.7681
1.12,7.26363,2.04644,1.51797,2.3,0,-161.762,0,9.3437
1.14,7.21991,2.03215,1.56397,2.3,0,-162.041,0,8.9193
1.16,7.17612,2.01808,1.60997,2.3,0,-162.33,0,8.49491
1.18,7.13225,2.00423,1.65597,2.3,0,-162.63,0,8.07051
1.2,7.08831,1.99061,1.70197,2.3,0,-162.94,0,7.64611
1.22,7.0443,1.97724,1.74797,2.3,0,-163.263,0,7.22171
1.24,7.00021,1.96412,1.79397,2.3,0,-163.597,0,6.79732
1.26,6.95604,1.95127,1.83997,2.3,0,-163.943,0,6.37292
1.28,6.9118,1.93867,1.88597,2.3,0,-164.3,0,5.94852
1.3,6.86748,1.92637,1.93197,2.3,0,-164.67,0,5.52413
1.32,6.82307,1.91435,1.97797,2.3,0,-165.052,0,5.09973
1.34,6.77859,1.90265,2.02397,2.3,0,-165.447,0,4.67533
1.36,6.73402,1.89125,2.06997,2.3,0,-165.855,0,4.25094
1.38,6.68938,1.88016,2.11597,2.3,0,-166.276,0,3.82654
1.4,6.64465,1.86942,2.16197,2.3,0,-166.71,0,3.40214
1.42,6.59984,1.85901,2.20797,2.3,0,-167.158,0,2.97775
1.44,6.55495,1.84897,2.25397,2.3,0,-167.62,0,2.55335
1.46,6.50998,1.83931,2.29997,2.3,0,-168.096,0,2.12895
1.48,6.46493,1.83,2.34597,2.3,0,-168.586,0,1.70456
1.5,6.4198,1.8211,2.39197,2.3,0,-169.09,0,1.28016
1.52,6.3746,1.81259,2.43797,2.3,0,-169.609,0,0.855763
1.54,6.32931,1.80449,2.48397,2.3,0,-170.142,0,0.431366
1.56,6.28395,1.79685,2.52997,2.3,0,-170.69,0,0.00696915
1.58,6.23852,1.78964,2.57597,2.3,0,-171.253,0,-0.417428
1.6,6.19303,1.78285,2.62197,2.3,0,-171.83,0,-0.841824
1.62,6.14746,1.77654,2.66797,2.3,0,-172.422,0,-1.26622
1.64,6.10183,1.77074,2.71397,2.3,0,-173.03,0,-1.69062
1.66,6.05614,1.7654,2.75997,2.3,0,-173.652,0,-2.11501
1.68,6.0104,1.76056,2.80597,2.3,0,-174.287,0,-2.53941
1.7,5.9646,1.75625,2.85197,2.3,0,-174.938,0,-2.96381
1.72,5.91876,1.75245,2.89797,2.3,0,-175.603,0,-3.38821
1.74,5.87287,1.74918,2.94397,2.3,0,-176.281,0,-3.8126
1.76,5.82695,1.74647,2.98997,2.3,0,-176.973,0,-4.237
1.78,5.781,1.74434,3.03597,2.3,0,-177.678,0,-4.6614
1.8,5.73503,1.74277,3.08197,2.3,0,-178.396,0,-5.08579
1.82,5.68904,1.74176,3.12797,2.3,0,-179.126,0,-5.51019
1.84,5.64304,1.74134,3.17397,2.3,0,-179.867,0,-5.93459
1.86,5.59705,1.74154,3.21997,2.3,0,179.381,0,-6.35898
1.88,5.55105,1.74237,3.26597,2.3,0,178.618,0,-6.78338
1.9,5.50508,1.74379,3.31197,2.3,0,177.846,0,-7.20778
1.92,5.45912,1.74582,3.35797,2.3,0,177.066,0,-7.63217
1.94,5.4132,1.74846,3.40397,2.3,0,176.278,0,-8.05657
1.96,5.36732,1.75177,3.44997,2.3,0,175.483,0,-8.48097
1.98,5.32149,1.75574,3.49597,2.3,0,174.682,0,-8.90536
2,5.27572,1.76033,3.54197,2.3,0,173.876,0,-9.32976
2.02,5.23002,1.76556,3.58797,2.3,0,173.067,0,-9.75416
2.04,5.18439,1.77142,3.63397,2.3,0,172.255,0,-10.1786
2.06,5.13886,1.77793,3.67997,2.3,0,171.441,0,-10.603
2.08,5.09342,1.7851,3.72597,2.3,0,170.627,0,-11.0273
2.1,5.04809,1.79293,3.77197,2.3,0,169.814,0,-11.4517
2.12,5.00288,1.80139,3.81797,2.3,0,169.003,0,-11.8761
2.14,4.95779,1.81048,3.86397,2.3,0,168.195,0,-12.3005
2.16,4.91282,1.8202,3.90997,2.3,0,167.391,0,-12.7249
2.18,4.86801,1.83056,3.95597,2.3,0,166.592,0,-13.1493
2.2,4.82333,1.84152,4.00197,2.3,0,165.8,0,-13.5737
2.22,4.77882,1.85312,4.04797,2.3,0,165.015,0,-13.9981
2.24,4.73447,1.86532,4.09397,2.3,0,164.238,0,-14.4225
2.26,4.69028,1.8781,4.13997,2.3,0,163.47,0,-14.8469
2.28,4.64627,1.8915,4.18597,2.3,0,162.712,0,-15.2713
2.3,4.60244,1.90545,4.23197,2.3,0,161.965,0,-15.6957
2.32,4.55879,1.91996,4.27797,2.3,0,161.23,0,-16.1201
2.34,4.51533,1.93504,4.32397,2.3,0,160.507,0,-16.5445
2.36,4.47207,1.95066,4.36997,2.3,0,159.797,0,-16.9689
2.38,4.429,1.96682,4.41597,2.3,0,159.101,0,-17.3933
2.4,4.38613,1.98349,4.46197,2.3,0,158.418,0,-17.8177
2.42,4.34345,2.00064,4.50797,2.3,0,157.75,0,-18.2421
2.44,4.30097,2.01831,4.55397,2.3,0,157.096,0,-18.6665
2.46,4.2587,2.03645,4.59997,2.3,0,156.458,0,-19.0909
2.48,4.21663,2.05505,4.64597,2.3,0,155.834,0,-19.5153
2.5,4.17477,2.07411,4.69197,2.3,0,155.227,0,-19.9397
2.52,4.1331,2.0936,4.73797,2.3,0,154.634,0,-20.3641
2.54,4.09164,2.11352,4.78397,2.3,0,154.058,0,-20.7885
2.56,4.05037,2.13385,4.82997,2.3,0,153.497,0,-21.2129
2.58,4.0093,2.15456,4.87597,2.3,0,152.951,0,-21.6373
2.6,3.96843,2.17567,4.92197,2.3,0,152.422,0,-22.0617
