"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,7.66515,0.839192,0,0,4,155,0,0
0.02,7.66106,0.841097,0.00450777,0.08,4,155.002,0,-0.00848794
0.04,7.65698,0.843001,0.00901554,0.16,4,155.004,0,-0.0339517
0.06,7.65289,0.844906,0.0135233,0.24,4,155.005,0,-0.0763914
0.08,7.64881,0.846811,0.0180311,0.32,4,155.007,0,-0.135807
0.1,7.64472,0.848715,0.0225389,0.4,4,155.009,0,-0.212198
0.12,7.63853,0.851603,0.0293753,0.48,4,155.013,0,-0.305566
0.14,7.62866,0.856199,0.040258,0.56,4,155.021,0,-0.415909
0.16,7.6187,0.860839,0.0512441,0.64,4,155.03,0,-0.543228
0.18,7.60584,0.866824,0.0654267,0.72,4,155.046,0,-0.687523
0.2,7.59241,0.873075,0.0802441,0.8,4,155.066,0,-0.848794
0.22,7.57715,0.88016,0.0970674,0.88,4,155.098,0,-1.02704
0.24,7.56038,0.887936,0.11555,0.96,4,155.137,0,-1.22226
0.26,7.54232,0.8963,0.135457,1.04,4,155.184,0,-1.43446
0.28,7.52281,0.905312,0.156944,1.12,4,155.242,0,-1.66364
0.3,7.50181,0.914979,0.180069,1.2,4,155.317,0,-1.90979
0.32,7.47929,0.925311,0.204845,1.28,4,155.404,0,-2.17291
0.34,7.45526,0.936288,0.231263,1.36,4,155.509,0,-2.45301
0.36,7.42973,0.947875,0.2593,1.44,4,155.635,0,-2.75009
0.38,7.40272,0.960068,0.28893,1.52,4,155.779,0,-3.06414
0.4,7.37426,0.972822,0.320122,1.6,4,155.947,0,-3.39517
0.42,7.34436,0.986114,0.352845,1.68,4,156.137,0,-3.74318
0.44,7.31284,0.999986,0.387276,1.76,4,156.354,0,-4.10816
0.46,7.27982,1.01435,0.423286,1.84,4,156.601,0,-4.49012
0.48,7.24533,1.0292,0.460842,1.92,4,156.875,0,-4.88905
0.5,7.2092,1.04449,0.50007,2,4,157.185,0,-5.30496
0.52,7.17156,1.06021,0.540861,2.08,4,157.525,0,-5.73784
0.54,7.13237,1.07627,0.583211,2.16,4,157.903,0,-6.18771
0.56,7.09151,1.09269,0.627255,2.24,4,158.318,0,-6.65454
0.58,7.04906,1.10937,0.67286,2.32,4,158.772,0,-7.13835
0.6,7.005,1.12627,0.720051,2.4,4,159.266,0,-7.63914
0.62,6.95929,1.14333,0.768841,2.48,4,159.802,0,-8.15691
0.64,6.91191,1.16049,0.819237,2.56,4,160.38,0,-8.69165
0.66,6.86283,1.1777,0.871239,2.64,3.85087,161,0,-9.24336
0.68,6.81215,1.1948,0.924731,2.7,0,161.662,0,-9.81205
0.7,6.7608,1.2115,0.978731,2.7,0,162.35,0,-10.3977
0.72,6.70924,1.22755,1.03273,2.7,0,163.055,0,-11.0004
0.74,6.65749,1.24298,1.08673,2.7,0,163.772,0,-11.62
0.76,6.60555,1.25774,1.14073,2.7,0,164.498,0,-12.2545
0.78,6.55343,1.27186,1.19473,2.7,0,165.227,0,-12.8911
0.8,6.50112,1.28527,1.24873,2.7,0,165.952,0,-13.5276
0.82,6.44866,1.29806,1.30273,2.7,0,166.669,0,-14.1642
0.84,6.39603,1.31017,1.35673,2.7,0,167.368,0,-14.8008
0.86,6.34327,1.32168,1.41073,2.7,0,168.045,0,-15.4374
0.88,6.29038,1.33256,1.46473,2.7,0,168.691,0,-16.074
0.9,6.23737,1.34287,1.51873,2.7,0,169.296,0,-16.7106
0.92,6.18427,1.35265,1.57273,2.7,0,169.855,0,-17.3472
0.94,6.13107,1.36192,1.62673,2.7,0,170.356,0,-17.9838
0.96,6.0778,1.37075,1.68073,2.7,0,170.79,0,-18.6204
0.98,6.02447,1.37922,1.73473,2.7,0,171.152,0,-19.257
1,5.97109,1.38739,1.78873,2.7,0,171.431,0,-19.8936
1.02,5.91768,1.39534,1.84273,2.7,0,171.618,0,-20.5302
1.04,5.86425,1.40316,1.89673,2.7,0,171.71,0,-21.1668
1.06,5.81081,1.41094,1.95073,2.7,0,171.699,0,-21.8034
1.08,5.75738,1.41879,2.00473,2.7,0,171.58,0,-22.44
1.1,5.70398,1.4268,2.05873,2.7,0,171.343,0,-23.0766
1.12,5.65062,1.43509,2.11273,2.7,0,170.99,0,-23.7132
1.14,5.59732,1.44375,2.16673,2.7,0,170.521,0,-24.3498
1.16,5.5441,1.4529,2.22073,2.7,0,169.939,0,-24.9864
1.18,5.49099,1.46265,2.27473,2.7,0,169.242,0,-25.623
1.2,5.43801,1.4731,2.32873,2.7,0,168.435,0,-26.2596
